Movie Name,Year of Release,Run Time in minutes,Movie Rating,Votes,MetaScore,Gross,Genre,Certification,Director,Stars,Description
Tin Cup,1996,135,6.4,52405,60.0,53850000.0,"['Comedy', ' Drama', ' Romance']",R,['Ron Shelton'],"['Kevin Costner', 'Rene Russo', 'Don Johnson', 'Cheech Marin']","['A', 'washed-up', 'golf', 'pro', 'working', 'at', 'a', 'driving', 'range', 'tries', 'to', 'qualify', 'for', 'the', 'U.S.', 'Open', 'in', 'order', 'to', 'win', 'the', 'heart', 'of', 'his', 'successful', ""rival's"", 'girlfriend.']"
Into the Night,1985,115,6.4,13243,41.0,7560000.0,"['Action', ' Comedy', ' Crime']",R,['John Landis'],"['Jeff Goldblum', 'Michelle Pfeiffer', 'Stacey Pickren', 'Carmen Argenziano']","['After', 'discovering', 'that', 'his', 'wife', 'is', 'cheating', 'on', 'him,', 'an', 'insomniac', 'aerospace', 'engineer', 'accidentally', 'meets,', 'and', 'tries', 'to', 'help,', 'a', 'beautiful', 'model', 'on', 'the', 'run', 'from', 'some', 'extremely', 'dangerous', 'people.']"
Brainstorm,1983,106,6.4,12670,57.0,8900000.0,"['Sci-Fi', ' Thriller']",PG,['Douglas Trumbull'],"['Christopher Walken', 'Natalie Wood', 'Louise Fletcher', 'Cliff Robertson']","['Researchers', 'develop', 'a', 'system', 'where', 'they', 'can', 'jump', 'into', ""people's"", 'minds.', 'But', 'when', 'people', 'involved', 'bring', 'their', 'personal', 'problems', 'into', 'the', 'equation,', 'it', 'becomes', 'dangerous', '-', 'perhaps', 'deadly.']"
Soul Men,2008,100,6.4,11474,49.0,12080000.0,"['Comedy', ' Drama', ' Music']",R,['Malcolm D. Lee'],"['Samuel L. Jackson', 'Bernie Mac', 'Sharon Leal', 'Adam Herschman']","['Though', ""it's"", 'been', 'about', 'twenty', 'years', 'since', 'they', 'have', 'spoken', 'with', 'one', 'another,', 'two', 'estranged', 'soul-singing', 'legends', 'agree', 'to', 'participate', 'in', 'a', 'reunion', 'performance', 'at', 'the', 'Apollo', 'Theater', 'to', 'honor', 'their', 'recently', 'deceased', 'band', 'leader.']"
Choke,2008,92,6.4,33244,47.0,2930000.0,"['Comedy', ' Drama']",R,['Clark Gregg'],"['Sam Rockwell', 'Anjelica Huston', 'Kelly Macdonald', 'Kathryn Alexander']","['A', 'sex-addicted', 'con-man', 'pays', 'for', 'his', ""mother's"", 'hospital', 'bills', 'by', 'playing', 'on', 'the', 'sympathies', 'of', 'those', 'who', 'rescue', 'him', 'from', 'choking', 'to', 'death.']"
Final Fantasy: The Spirits Within,2001,106,6.4,83417,49.0,32130000.000000004,"['Animation', ' Action', ' Adventure']",PG-13,"['Hironobu Sakaguchi', 'Motonori Sakakibara']","['Alec Baldwin', 'Steve Buscemi', 'Ming-Na Wen', 'Ving Rhames']","['A', 'scientist', 'makes', 'a', 'last', 'stand', 'on', 'Earth', 'with', 'the', 'help', 'of', 'a', 'ragtag', 'team', 'of', 'soldiers', 'against', 'an', 'invasion', 'of', 'alien', 'phantoms.']"
In & Out,1997,90,6.4,43382,70.0,63860000.0,"['Comedy', ' Romance']",PG-13,['Frank Oz'],"['Kevin Kline', 'Joan Cusack', 'Tom Selleck', 'Matt Dillon']","['A', 'midwestern', 'teacher', 'questions', 'his', 'sexuality', 'after', 'a', 'former', 'student', 'makes', 'a', 'comment', 'about', 'him', 'at', 'the', 'Academy', 'Awards.']"
The Gauntlet,1977,109,6.4,24528,59.0,35400000.0,"['Action', ' Crime', ' Thriller']",R,['Clint Eastwood'],"['Clint Eastwood', 'Sondra Locke', 'Pat Hingle', 'William Prince']","['A', 'hard', 'but', 'mediocre', 'cop', 'is', 'assigned', 'to', 'escort', 'a', 'prostitute', 'into', 'custody', 'from', 'Las', 'Vegas', 'to', 'Phoenix,', 'so', 'that', 'she', 'can', 'testify', 'in', 'a', 'mob', 'trial.', 'But', 'a', 'lot', 'of', 'people', 'are', 'literally', 'betting', 'that', 'they', ""won't"", 'make', 'it', 'into', 'town', 'alive.']"
Muppets Most Wanted,2014,107,6.4,36310,61.0,51180000.0,"['Adventure', ' Comedy', ' Crime']",PG,['James Bobin'],"['Ricky Gervais', 'Ty Burrell', 'Tina Fey', 'Steve Whitmire']","['While', 'on', 'a', 'grand', 'world', 'tour,', 'The', 'Muppets', 'find', 'themselves', 'wrapped', 'into', 'an', 'European', 'jewel-heist', 'caper', 'headed', 'by', 'a', 'Kermit', 'the', 'Frog', 'look-alike', 'and', 'his', 'dastardly', 'sidekick.']"
Live by Night,2016,129,6.4,59027,49.0,10380000.0,"['Action', ' Crime', ' Drama']",R,['Ben Affleck'],"['Ben Affleck', 'Elle Fanning', 'Brendan Gleeson', 'Chris Messina']","['A', 'group', 'of', 'Boston-bred', 'gangsters', 'set', 'up', 'shop', 'in', 'balmy', 'Florida', 'during', 'the', 'Prohibition', 'era,', 'facing', 'off', 'against', 'the', 'competition', 'and', 'the', 'Ku', 'Klux', 'Klan.']"
